System,Mission Number,Mission Text,Text Before Mission,Expected Text After Mission
VoiceOnly_#0,0,"Navigate to page 1, paragraph 1, line 3.","A short story is a piece of prose fiction that typically can be read in one sitting and focqses on a self-contained incident or series of linked incidents, with the intent of evoking a single effect or mopd. The short story is one of the oldest types of literature and has exsted in the form of legends, mythic tales, folk tales, fairy tales, fables and anecdotes in various ancient communities across the world. The modern short story developed in the early 19th century","Animals, specificaly humans, have five different types of tastes: swet, sour, salty, bitter, and umami. As animals have evolved, the tastes that provide the most energy (sugar and fats) are the most pleasant to eat while others, such as bitter, are not enjoyable. Water, while important for survival, has no taste. Fats, on the other hand, especially saturated fats, are thiker and rich and are thus considered more enjoyable to eat."
VoiceOnly_#0,1,"Fix \""mopd\"" to \""mood\"".","A short story is a piece of prose fiction that typically can be read in one sitting and focqses on a self-contained incident or series of linked incidents, with the intent of evoking a single effect or mopd. The short story is one of the oldest types of literature and has exsted in the form of legends, mythic tales, folk tales, fairy tales, fables and anecdotes in various ancient communities across the world. The modern short story developed in the early 19th century","A short story is a piece of prose fiction that typically can be read in one sitting and focqses on a self-contained incident or series of linked incidents, with the intent of evoking a single effect or mood. The short story is one of the oldest types of literature and has exsted in the form of legends, mythic tales, folk tales, fairy tales, fables and anecdotes in various ancient communities across the world. The modern short story developed in the early 19th century."
VoiceOnly_#0,2,"Navigate to page 1, paragraph 2, line 3.","The short story is a crafted form in its own right. Short stories make use of plot, resonance, and other dynamic components as in a novel, but typically to a lesser degree. While the short story is largely distinct from the novel or short, authos generally draw from a common pool of literary techniques.","The short story is a crafted form in its own right. Short stories make use of plot, resonance, and other dynamic components as in a novel, but typically to a lesser degree. While the short story is largely distinct from the novel or short, authos generally draw from a common pool of literary techniques."
VoiceOnly_#0,3,"Add \""novel\"" after \""short\"".","The short story is a crafted form in its own right. Short stories make use of plot, resonance, and other dynamic components as in a novel, but typically to a lesser degree. While the short story is largely distinct from the novel or short, authos generally draw from a common pool of literary techniques.","The short story is a crafted form in its own right. Short stories make use of plot, resonance, and other dynamic components as in a novel, but typically to a lesser degree. While the short story is largely distinct from the novel or short novel, authos generally draw from a common pool of literary techniques."
VoiceOnly_#0,4,"Navigate to page 1, paragraph 8, line 1.","Short stories have no set length. In terms of word corunt, there is no official demarcation between an anecdote, a short story, and a novel. Rather, the form's parameters are given by the rhetorical and practical context in which a given story is produced and considered so that what constitutes a short story may differ between genres, countries, eras, and commentators. Like the novel, the short story's predominant shape reflects the demands of the available markets for publication, and the evolution of the form seems closely tied to the evolution of the publishing industry and the submission guidelines of its constituent houses.","Short stories have no set length. In terms of word corunt, there is no official demarcation between an anecdote, a short story, and a novel. Rather, the form's parameters are given by the rhetorical and practical context in which a given story is produced and considered so that what constitutes a short story may differ between genres, countries, eras, and commentators. Like the novel, the short story's predominant shape reflects the demands of the available markets for publication, and the evolution of the form seems closely tied to the evolution of the publishing industry and the submission guidelines of its constituent houses."
VoiceOnly_#0,5,"Fix \""corunt\"" to \""count\"".","Short stories have no set length. In terms of word corunt, there is no official demarcation between an anecdote, a short story, and a novel. Rather, the form's parameters are given by the rhetorical and practical context in which a given story is produced and considered so that what constitutes a short story may differ between genres, countries, eras, and commentators. Like the novel, the short story's predominant shape reflects the demands of the available markets for publication, and the evolution of the form seems closely tied to the evolution of the publishing industry and the submission guidelines of its constituent houses.","Short stories have no set length. In terms of word count, there is no official demarcation between an anecdote, a short story, and a novel. Rather, the form's parameters are given by the rhetorical and practical context in which a given story is produced and considered so that what constitutes a short story may differ between genres, countries, eras, and commentators. Like the novel, the short story's predominant shape reflects the demands of the available markets for publication, and the evolution of the form seems closely tied to the evolution of the publishing industry and the submission guidelines of its constituent houses."
VoiceOnly_#0,6,"Navigate to page 1, paragraph 3, line 3-5.","Determining what exactly separates a short story from longer fictionall formats is problematic. A classic definition of a short story is that one should be able to read it in one sitting, a point most notably mmade in Edgar Allan Poe's essay ""The Philosophy of Composition"" (1846). According to William Faulkner, a short story is character driven and a writer's job is to ""... along behind him with a paper and pencil trying to keep up long enough to put down whaat he says and does.”","Determining what exactly separates a short story from longer fictionall formats is problematic. A classic definition of a short story is that one should be able to read it in one sitting, a point most notably mmade in Edgar Allan Poe's essay ""The Philosophy of Composition"" (1846). According to William Faulkner, a short story is character driven and a writer's job is to ""... along behind him with a paper and pencil trying to keep up long enough to put down whaat he says and does.”"
VoiceOnly_#0,7,"Copy from \""According\"" to \""does\"".","Determining what exactly separates a short story from longer fictionall formats is problematic. A classic definition of a short story is that one should be able to read it in one sitting, a point most notably mmade in Edgar Allan Poe's essay ""The Philosophy of Composition"" (1846). According to William Faulkner, a short story is character driven and a writer's job is to ""... along behind him with a paper and pencil trying to keep up long enough to put down whaat he says and does.”","Determining what exactly separates a short story from longer fictionall formats is problematic. A classic definition of a short story is that one should be able to read it in one sitting, a point most notably mmade in Edgar Allan Poe's essay ""The Philosophy of Composition"" (1846). According to William Faulkner, a short story is character driven and a writer's job is to ""... along behind him with a paper and pencil trying to keep up long enough to put down whaat he says and does.”"
VoiceOnly_#0,8,"Navigate to page 1, paragraph 5, line 1.","Short stories have deep roots, and the power of short fiction has been recognized in modern society for hundreds of years. As William Boyd, the award-winning British author and short story writer has said: short stories seem to answer something deep in our nature as if, for the duration of its telling, something special has been created, some essence of our experience extrapolated, some temporary sense has been made of our common, turbulent journey towards the grave and oblivion.","Short stories have deep roots, and the power of short fiction has been recognized in modern society for hundreds of years. As William Boyd, the award-winning British author and short story writer has said: short stories seem to answer something deep in our nature as if, for the duration of its telling, something special has been created, some essence of our experience extrapolated, some temporary sense has been made of our common, turbulent journey towards the grave and oblivion."
VoiceOnly_#0,9,"Past after \""deep\"".","Short stories have deep roots, and the power of short fiction has been recognized in modern society for hundreds of years. As William Boyd, the award-winning British author and short story writer has said: short stories seem to answer something deep in our nature as if, for the duration of its telling, something special has been created, some essence of our experience extrapolated, some temporary sense has been made of our common, turbulent journey towards the grave and oblivion.","Short stories have deep According to William Faulkner, a short story is character driven and a writer's job is to ""... along behind him with a paper and pencil trying to keep up long enough to put down whaat he says and does.” roots, and the power of short fiction has been recognized in modern society for hundreds of years. As William Boyd, the award-winning British author and short story writer has said: short stories seem to answer something deep in our nature as if, for the duration of its telling, something special has been created, some essence of our experience extrapolated, some temporary sense has been made of our common, turbulent journey towards the grave and oblivion."
