System,Mission Number,Mission Text,effort
VoiceOnly_#0,0,"Navigate to page 1, paragraph 1, line 1.",0
VoiceOnly_#0,1,"fix \""batery\"" to \""battery\"". (page 1, paragraph 1, line 1) ",0
VoiceOnly_#0,2,"Navigate to page 1, paragraph 2, line 9 ",0
VoiceOnly_#0,3,"Add \""great\"" after \""first\"". (page 1, paragraph 2, line 9 )",0
VoiceOnly_#0,4,"Navigate to page 1, paragraph 2, line 19.",0
VoiceOnly_#0,5,"Copy from \""down\""  to \""ground\"". (page 1, paragraph 2, line 19)",0
VoiceOnly_#0,6,"Navigate to page 1, paragraph 2, line 21.",0
VoiceOnly_#0,7,"Paste after \""ring\"". (page 1, paragraph 2, line 21)",0
VoiceOnly_#0,8,"Navigate to page 2, paragraph 4, line 33.",0
VoiceOnly_#0,9,"Replace \""garden\"" to \""balcony\"" . (page 2, paragraph 4, line 33)",0
VoiceOnly_#0,10,"Navigate to page 1, paragrpah 2, line 14.",0
VoiceOnly_#0,11,"fix \""slueg\"" to \""slug\"". (page 1, paragrpah 2, line 14)",0
VoiceOnly_#0,12,"Navigate to page 1, paragraph 3, line 28-29",0
VoiceOnly_#0,13,"Delete from \""Greek\"" to \""process\"". (page 1, paragraph 3, line 28-29)",0
VoiceGaze_#0,0,"Navigate to page 1, paragraph 1, line 1.",0
VoiceGaze_#0,1,"fix \""batery\"" to \""battery\"". (page 1, paragraph 1, line 1) ",0
VoiceGaze_#0,2,"Navigate to page 1, paragraph 2, line 9 ",0
VoiceGaze_#0,3,"Add \""great\"" after \""first\"". (page 1, paragraph 2, line 9 )",0
VoiceGaze_#0,4,"Navigate to page 1, paragraph 3, line 19.",0
VoiceGaze_#0,5,"Copy from \""down\"" to \""sand\"". (page 1, paragraph 3, line 19)",0
VoiceGaze_#0,6,"Navigate to page 1, paragraph 3, line 20.",0
VoiceGaze_#0,7,"Paste after \""ring\"". (page 1, paragraph 3, line 20)",0
VoiceGaze_#0,8,"Navigate to page 2, paragraph 5, line 31.",0
VoiceGaze_#0,9,"Replace \""garden\"" to \""balcony\"" . (page 2, paragraph 5, line 31)",0
VoiceGaze_#0,10,"Navigate to page 1, paragrpah 2, line 13.",0
VoiceGaze_#0,11,"fix \""slueg\"" to \""slug\"". (page 1, paragrpah 2, line 13)",0
VoiceGaze_#0,12,"Navigate to page 2, paragraph 4, line 22-23.",0
VoiceGaze_#0,13,"Delete from \""Water\"" to \""beginning\"". (page 2, paragraph 4, line 22-23)",0
VoiceMouse_#0,0,"Navigate to page 1, paragraph 1, line 1.",0
VoiceMouse_#0,1,"fix \""batery\"" to \""battery\"". (page 1, paragraph 1, line 1) ",0
VoiceMouse_#0,2,"Navigate to page 1, paragraph 2, line 9 ",0
VoiceMouse_#0,3,"Add \""great\"" after \""first\"". (page 1, paragraph 2, line 9 )",0
VoiceMouse_#0,4,"Navigate to page 1, paragraph 3, line 19.",0
VoiceMouse_#0,5,"Copy from \""down\"" to \""sand\"". (page 1, paragraph 3, line 19)",0
VoiceMouse_#0,6,"Navigate to page 1, paragraph 3, line 20.",0
VoiceMouse_#0,7,"Paste after \""ring\"". (page 1, paragraph 3, line 20)",0
VoiceMouse_#0,8,"Navigate to page 2, paragraph 5, line 31.",0
VoiceMouse_#0,9,"Replace \""garden\"" to \""balcony\"" . (page 2, paragraph 5, line 31)",0
VoiceMouse_#0,10,"Navigate to page 1, paragrpah 2, line 13.",0
VoiceMouse_#0,11,"fix \""slueg\"" to \""slug\"". (page 1, paragrpah 2, line 13)",0
VoiceMouse_#0,12,"Navigate to page 2, paragraph 4, line 22-23.",0
VoiceMouse_#0,13,"Delete from \""Water\"" to \""beginning\"". (page 2, paragraph 4, line 22-23)",0
MouseAndKeyboard_#0,0,"Navigate to page 1, paragraph 1, line 1.",0
MouseAndKeyboard_#0,1,"fix \""batery\"" to \""battery\"". (page 1, paragraph 1, line 1) ",0
MouseAndKeyboard_#0,2,"Navigate to page 1, paragraph 2, line 9 ",0
MouseAndKeyboard_#0,3,"Add \""great\"" after \""first\"". (page 1, paragraph 2, line 9 )",0
MouseAndKeyboard_#0,4,"Navigate to page 1, paragraph 2, line 19.",0
MouseAndKeyboard_#0,5,"Copy from \""down\""  to \""ground\"". (page 1, paragraph 2, line 19)",0
MouseAndKeyboard_#0,6,"Navigate to page 1, paragraph 2, line 21.",0
MouseAndKeyboard_#0,7,"Paste after \""ring\"". (page 1, paragraph 2, line 21)",0
MouseAndKeyboard_#0,8,"Navigate to page 2, paragraph 4, line 33.",0
MouseAndKeyboard_#0,9,"Replace \""garden\"" to \""balcony\"" . (page 2, paragraph 4, line 33)",0
MouseAndKeyboard_#0,10,"Navigate to page 1, paragrpah 2, line 14.",0
MouseAndKeyboard_#0,11,"fix \""slueg\"" to \""slue\"". (page 1, paragrpah 2, line 14)",0
MouseAndKeyboard_#0,12,"Navigate to page 1, paragraph 3, line 28-29",0
MouseAndKeyboard_#0,13,"Delete from \""Greek\"" to \""process\"". (page 1, paragraph 3, line 28-29)",0
VoiceOnly_#1,0,"Navigate to page 1, paragraph 1, line 3.",0
VoiceOnly_#1,11,"Fix \""lare\"" to \""large\"". (page 1, paragraph 1, line 3)",4
VoiceOnly_#1,2,"Navigate to page 1, paragraph 2, line 8.",0
VoiceOnly_#1,3,"Add \""boy\"" after \""little\"". (page 1, paragraph 2, line 8)",2
VoiceOnly_#1,4,"Navigate to page 1, paragraph 3, line 12-13.",0
VoiceOnly_#1,5,"Copy from \""his\"" to \""away\"". (page 1, paragraph 3, line 12-13)",2
VoiceOnly_#1,6,"Navigate to page 1, paragraph 4, line 19.",0
VoiceOnly_#1,7,"Paste after \""Then\"". (page 1, paragraph 4, line 19)",1
VoiceOnly_#1,8,"Navigate to page 2, paragraph 5, line 23.",0
VoiceOnly_#1,9,"Replace \""always\"" to \""sometimes\"". (page 2, paragraph 5, line 23)",2
VoiceOnly_#1,10,"Navigate to page 2, paragraph 6, line 30.",0
VoiceOnly_#1,1,"Fix \""fel\"" to \""fell\"". (page 2, paragraph 6, line 30)",2
VoiceOnly_#1,12,"Navigate to page 2, paragraph 7, line 35.",0
VoiceOnly_#1,13,"Delete from \""tears\"" to \""cheeks\"". (page 2, paragraph 7, line 35)",1
VoiceGaze_#1,0,"Navigate to page 1, paragraph 1, line 2",0
VoiceGaze_#1,1,"Fix \""indstry\"" to \""industry\"". (page 1, paragraph 1, line 2)",1
VoiceGaze_#1,2,"Navigate to page 1, paragraph 2, line 5",0
VoiceGaze_#1,3,"Fix \""pening\"" to \""pending\"". (page 1, paragraph 2, line 5)",3
VoiceGaze_#1,4,"Navigate to page 1, paragraph 3, line 13",0
VoiceGaze_#1,5,"Copy from \""in\"" to \""London\"". (page 1, paragraph 3, line 13)",1
VoiceGaze_#1,6,"Navigate to page 1, paragraph 4, line 18",0
VoiceGaze_#1,7,"Paste after \""decision\"". (page 1, paragraph 3, line 13)",1
VoiceGaze_#1,8,"Navigate to page 2, paragraph 5, line 24",0
VoiceGaze_#1,9,"Add \""sailor\"" after \""average\"". (page 2, paragraph 5, line 24)",1
VoiceGaze_#1,10,"Navigate to page 2, paragraph 6, line 32",0
VoiceGaze_#1,11,"Delete from \""personal\"" to \""service\"". (page 2, paragraph 6, line 32)",1
VoiceGaze_#1,12,"Navigate to page 2, paragraph 8, line 39",0
VoiceGaze_#1,13,"Replace \""sad \"" to \""happy\"". (page 2, paragraph 8, line 39)",1
VoiceMouse_#1,0,"Navigate to page 1, paragraph 1, line 2",0
VoiceMouse_#1,1,"Fix \""alwys\"" to \""always\"". (page 1, paragraph 1, line 2)",1
VoiceMouse_#1,2,"Navigate to page 1, paragraph 2, line 5",0
VoiceMouse_#1,3,"Replace \""back\"" to \""front\"". (page 1, paragraph 2, line 5)",1
VoiceMouse_#1,4,"Navigate to page 1, paragraph 3, line 13",0
VoiceMouse_#1,5,"Add \""time\"" after \""the\"". (page 1, paragraph 3, line 13)",1
VoiceMouse_#1,6,"Navigate to page 1, paragraph 4, line 19",0
VoiceMouse_#1,7,"Fix \""est\"" to \""set\"". (page 1, paragraph 4, line 19)",3
VoiceMouse_#1,8,"Navigate to page 2, paragraph 5, line 22",0
VoiceMouse_#1,9,"Copy from \""not\"" to \""any\"". (page 2, paragraph 5, line 22)",1
VoiceMouse_#1,10,"Navigate to page 2, paragraph 6, line 29",0
VoiceMouse_#1,11,"Paste after \""and\"". (page 2, paragraph 6, line 29)",1
VoiceMouse_#1,12,"Navigate to page 2, paragraph 7, line 33",0
VoiceMouse_#1,13,"Delete from \""Outside\"" to \""public\"". (page 2, paragraph 7, line 33)",1
MouseAndKeyboard_#1,0,"Navigate to page 1, paragraph 1, line 4",0
MouseAndKeyboard_#1,1,"Fix \""intersting \"" to \""interesting\"". (page 1, paragraph 1, line 4)",1
MouseAndKeyboard_#1,2,"Navigate to page 1, paragraph 2, line 9",0
